smiles,ie,batch,time
NC(CO)(CCO)C#N,13.622057736990882,4,26.295799670740962
CCC(O)CC(=O)CO,13.73240896612765,4,26.85458433162421
FC(F)(F)C=O,16.70531601768414,5,29.088231180794537
FC(F)(F)C#CC=O,15.992493902388219,5,29.19854035228491
O1C2C3C4C5C2C5C1C34,13.784399204785927,5,29.227464352734387
FC(F)(F)C1OCC=C1,14.353807502034442,5,29.424593745730817
OC1C=CC2C3OC3C12,13.849387497937073,5,29.442620455287397
OC1C=CC2C3OC1C23,13.314135067605775,5,29.52169361896813
OCC1OC=NCC=C1,13.300456312832239,5,29.77620972506702
FC(F)(F)C1CN1C=O,15.18070291897152,5,29.80222594831139
FC(F)(F)F,20.233744644119497,6,32.00591243710369
OC(C=O)C(F)(F)F,15.869560448718516,6,32.15983291808516
CC(N(C)C)C(F)(F)F,13.704868116315424,6,32.41034083813429
CC(O)(C=O)C(F)(F)F,15.408702919921666,6,32.42648514639586
CC#CC(C)(C=O)C#C,13.40642917303694,6,32.43543136958033
NC1(CCC1)C(F)(F)F,14.252027450347668,6,32.60668887197971
OC1(CCC1)C(F)(F)F,14.803988219235407,6,32.65883309673518
NC(C1CN1)C(F)(F)F,14.075618913733706,6,32.65909822564572
FC(F)(F)C(F)(F)F,18.24592581831564,7,34.85956258606166
CC(C)(C)C,14.294270759169535,7,34.8858994115144
FC(F)(F)C1CC1,16.02889035219664,7,34.936347275972366
CC(=O)C(F)(F)F,15.920495494810211,7,34.94330949801952
NCC(F)(F)F,15.35837277030214,7,34.98155577853322
CC(C)(C)C(F)(F)F,15.281830599620207,7,34.98953728750348
FC(F)(F)CC(F)(F)F,17.62294288662622,7,34.9916747668758
CC(C)(C)C(C)(C)C,13.57443156395209,7,35.03160579595715
CCCC(C)(C)C,13.725408451339149,8,37.39640388917178
FC(F)(F)CCOC=N,14.917110481852887,8,37.53927116468549
CCCCC(C)(C)C,13.52112806344985,8,37.571452169679105
CCCOCC(F)(F)F,14.441569252089607,8,37.629050159826875
COCCCC(F)(F)F,14.42627812086323,8,37.637708022259176
COCCC(C)(C)C,13.36808646653003,8,37.692733083851635
COCCCC(C)(C)C,13.20976472307234,8,37.791538403369486
CCCOC(C)(C)CC,13.178208229403708,8,37.91044579260051
FC(F)(F)C#N,17.77539268531075,9,40.14370200689882
OCC(F)(F)F,16.3257506770791,9,40.22424471471459
FC(F)(F)C1=CNC=N1,15.12547241175514,9,40.22781147155911
OC1C(O)C1C(F)(F)F,14.817566771216889,9,40.366140242666006
CC(C)(O)C12CN(C1)C2,13.09114815234284,9,40.3908773297444
CC(C)(O)C12CC(C1)C2,13.340315460809734,9,40.50527056213468
CNC(C)(C)C(F)(F)F,13.88007768569878,9,40.53856576234102
FC(F)(F)CN1CCC1,13.68590328910659,9,40.90909714065492
FC(F)(F)CC#N,16.742076999116648,10,43.20221030432731
FC(F)(F)C#CC#N,16.855586670771345,10,43.21285605151206
FC(F)(F)CCC#N,15.904864698349797,10,43.25532245915383
OC(C#N)C(F)(F)F,16.22708217453919,10,43.269414968788624
CC(C)(C#N)C(F)(F)F,15.594568601118795,10,43.28809503559023
CC(CC(F)(F)F)C#N,15.44244936502787,10,43.369408964179456
FC(F)(F)C1NC1C#N,15.492218935521237,10,43.41831460874528
CC(CO)(CO)CO,13.530298655567663,10,43.517604558728635
